Table S3. Publication Details;;;
Author name / Year (Reference);Country;Title ;Key words 
Ahrentzen, 2010 (1);United States;On their own turf: Community design and active aging in a naturally occurring retirement community;Active aging, Greenbelt towns, naturally occuring, retirement community, seniors
An & Yoshida, 2013 (2);Japan;Use of omnidirectional images to analyze elderly people's feelings of insecurity about snatch occurrences on roads;Snatch occurrences, feelings of insecurity, toward snatch, occurrences, walking environment, elderly people, omnidirectional images
Benoit et al., 2015  (3);France;Is it possible to use highly realistic virtual reality in the elderly? A feasibility study with image-based rendering;memory, elderly, virtual reality, image-based rendering, immersive environment, reminiscence therapy
Bilotta et al., 2010 (4);Italy;Dimensions and correlates of quality of life according to frailty status: A cross-sectional study on community-dwelling older adults referred to an outpatient geriatric service in Italy;Comprehensive Geriatric Assessment, Frailty Status, Financial Circumstance, Frail Subject, Frail Elder
Bojan, 2019 (5);Slovenia;Differences in perceptions of the living environment by respondent age;Social infrastructure, built environment, demographic characteristics, older  respondents, Slovenia
Bowling & Gabriel, 2007 (6);United Kingom;Lay theories of quality of life in older age;Quality of life, ageing, social support, social roles, health, wellbeing
Burton et al., 2011 (7);United Kingom;Good places for ageing in place: development of objective built environment measures for investigating links with older people's wellbeing;
Cain et al., 2018 (8);United States;Helpfulness, Trust, and Safety of Neighborhoods: Social Capital, Household Income, and Self-Reported Health of Older Adults;Social capital, Health, Disparities (health, racial), Poverty, Well-being
Chen et al., 2020 (9);China;Serial Mediation of Environmental Preference and Place Attachment in the Relationship between Perceived Street Walkability and Mood of the Elderly;Mood, elderly, street environment, place attachment, environmental preference
Cramm & Nieboer, 2013 (10);Netherlands;Relationships between frailty, neighborhood security, social cohesion and sense of belonging among community-dwelling older people;Belonging, community study, Netherlands, older people, security, social cohesion
de Donder et al., 2013 (11);Belgium;Perceptual quality of neighbourhood design and feelings of unsafety;Feelings of unsafety, fear of crime, age-friendly cities, broken windows, neighbourhood, older adults
 Distefano et al., 2021 (12);Italy;Neighbourhood walkability: Elderly's priorities;Accessibility, Vulnerable users, Ageing, Pedestrian path, Multiple correspondence, analysis, Survey
Domènech-Abella et al., 2020 (13);Belgium;The association between perceived social and physical environment and mental health among older adults: mediating effects of loneliness;Built environment, social cohesion, mental health, loneliness, older adults, mediation analysis
