Table S1. Inclusion and exclusion criteria,,,,
Inclusion,Exclusion,,,
"Full text available in English, Portuguese or Spanish.",All other languages,,,
"Empirical studies, defined as selection and analysis of primary data based in experiences in field or observation. ","Non-empirical articles (I.e.: Theoretical discussions, opinions, book reviews, systematic revisions and meta-analysis.",,,
"Studies focused on perception, emotions, and behaviors of older adults in outdoor built environment.", ,,,
"Studies published after 2007. (Publication of Global Age-friendly cities: a Guide, from WHO).",Studies published before 2007.,,,
Studies that involve people with 60 years or more.,Studies that exclusively involves younger people or with age under 60 years.,,,
Quantitative studies.,Qualitative or mixed methods studies.,,,
Full text available.,"Ful text not available or not existent, (I. E.: conference abstracts).",,,
,,,,
Table S2. Search string for database search,,,,
Concept,Search string,,,
(1) Older people ,"(""elderl*"" OR ""aged"" OR ""old*"" OR ""senior"")",,,
(2) Built environment ,"(""architectur*"" OR ""public space*"" OR ""urban space*"" OR ""built environment"" OR ""physical environment"" OR ""street*"" OR ""urban environment*"" OR ""urban area*"" OR ""neighbourhood"")",,,
(3) Perception ,"(""space perception"" OR ""spatial perception"" OR ""proprioception"" OR ""proprioceptive"" OR ""kinaesthesia"" OR ""kinaesthetic"" OR ""perception of space"" OR ""emotion*"" OR ""feeling*"")",,,
,,,,
 TableS3. Publication details,,,,
Author name / Year (Reference),Country,Title ,Key words ,
"Ahrentzen, 2010 (1)",United States,On their own turf: Community design and active aging in a naturally occurring retirement community,"Active aging, Greenbelt towns, naturally occuring, retirement community, seniors",
"An & Yoshida, 2013 (2)",Japan,Use of omnidirectional images to analyze elderly people's feelings of insecurity about snatch occurrences on roads,"Snatch occurrences, feelings of insecurity, toward snatch, occurrences, walking environment, elderly people, omnidirectional images",
"Benoit et al., 2015  (3)",France,Is it possible to use highly realistic virtual reality in the elderly? A feasibility study with image-based rendering,"memory, elderly, virtual reality, image-based rendering, immersive environment, reminiscence therapy",
"Bilotta et al., 2010 (4)",Italy,Dimensions and correlates of quality of life according to frailty status: A cross-sectional study on community-dwelling older adults referred to an outpatient geriatric service in Italy,"Comprehensive Geriatric Assessment, Frailty Status, Financial Circumstance, Frail Subject, Frail Elder",
"Bojan, 2019 (5)",Slovenia,Differences in perceptions of the living environment by respondent age,"Social infrastructure, built environment, demographic characteristics, older  respondents, Slovenia",
"Bowling & Gabriel, 2007 (6)",United Kingom,Lay theories of quality of life in older age,"Quality of life, ageing, social support, social roles, health, wellbeing",
"Burton et al., 2011 (7)",United Kingom,Good places for ageing in place: development of objective built environment measures for investigating links with older people's wellbeing,,
"Cain et al., 2018 (8)",United States,"Helpfulness, Trust, and Safety of Neighborhoods: Social Capital, Household Income, and Self-Reported Health of Older Adults","Social capital, Health, Disparities (health, racial), Poverty, Well-being",
"Chen et al., 2020 (9)",China,Serial Mediation of Environmental Preference and Place Attachment in the Relationship between Perceived Street Walkability and Mood of the Elderly,"Mood, elderly, street environment, place attachment, environmental preference",
"Cramm & Nieboer, 2013 (10)",Netherlands,"Relationships between frailty, neighborhood security, social cohesion and sense of belonging among community-dwelling older people","Belonging, community study, Netherlands, older people, security, social cohesion",
"de Donder et al., 2013 (11)",Belgium,Perceptual quality of neighbourhood design and feelings of unsafety,"Feelings of unsafety, fear of crime, age-friendly cities, broken windows, neighbourhood, older adults",
" Distefano et al., 2021 (12)",Italy,Neighbourhood walkability: Elderly's priorities,"Accessibility, Vulnerable users, Ageing, Pedestrian path, Multiple correspondence, analysis, Survey",
"Domènech-Abella et al., 2020 (13)",Belgium,The association between perceived social and physical environment and mental health among older adults: mediating effects of loneliness,"Built environment, social cohesion, mental health, loneliness, older adults, mediation analysis",
"Dryjanska, 2015 (14)",Italy,A social psychological approach to cultural heritage: Memories of the elderly inhabitants of Rome,"Cultural heritage, urban tourism, authenticity, historic cities, intangible heritage, Rome",
"Fabisiak et al., 2020 (15)",Poland,Attitudes of Polish Seniors toward the Use of Public Space during the First Wave of the COVID-19 Pandemic,"furniture, design, public areas, aging population, coronavirus, lockdown",
"Firdaus, 2017 (16)",India,Built Environment and Health Outcomes: Identification of Contextual Risk Factors for Mental Well-being of Older Adults,"Delhi, Built environment, Mental health, Older adult",
"(Gaber et al., 2020 (17)",United Kingom,"Perceived risks, concession travel pass access and everyday technology(ET) use for out-of-home participation: cross-sectional interviews among older people in the UK.","Activities of daily living, Dementia, Environment, Older adults, Risk, Social participation, Technology",
"Gale et al., 2011 (18)",United Kingom,Neighbourhood environment and positive mental health in older people: The Hertfordshire Cohort Study,"Mental wellbeing, Neighbourhood cohesion, Neighbourhood problems, Area deprivation, Emotional stability",
"Gómez et al., 2010 (19)",Colombia,Built environment attributes and walking patterns among the elderly population in Bogotá.,,
"Greenberg, 2009 (20)",United States,Neighborhood quality and the older elderly: Theory and two pilot tests,"neighborhood quality, older elderly, perceptions, environment",
"Herrmann-Lunecke et al., 2021 (21) ",Chile,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago, Chile","Walking, Perception, Built environment, Walking interviews, Walkability, Chile",
"Ivey et al., 2015 (22)",United Stated,Neighborhood characteristics and depressive symptoms in an older population,"depression, built environment, neighborhood, older adults, social capital",
"Kemperman et al., 2019 (23)",Netherlands,Loneliness of older adults: Social network and the living environment,"loneliness, aging, social network, social participation, neighborhood, Bayesian belief network (BBN)",
"König et al., 2019 (24)",United States,Physical and emotional support of the neighborhood for older adults: A comparison of the United States and Germany,"Aging in place, Environmental press, Neighborhood, Need fulfillment, International comparison",
"Lager et al., 2021 (25)",Netherlands,Neighbourhood walks as place-making in later life,"Place-making, walking,",
"Largueiras, 2020 (26)",Portugal,Satisfaction with life in the elderly: influence of the frequency of use of green spaces and contact with social networks,"Life Satisfaction, social networks, physical environment, active aging, green spaces",
"Low & Molzahn, 2007 (27)",Canada,Predictors of Quality of Life in Old Age: A Cross-Validation Study,"Aging, quality of life, structural equation, modeling, nursing care, assessment, model building",
